id,doi,title,year,first_author,authors,num_authors,journal,cited_by_count,keywords,concepts,country,primary_country,abstract,is_open_access,log_citations
https://openalex.org/W4388738937,10.2139/ssrn.4587725,Machine Learning for Rental Price Prediction: Regression Techniques and Random Forest Model,2023,Raju Raju,Raju Raju; Arham Neyaz; Aleem Ahmed; Annu Singh,4,SSRN Electronic Journal,6,"{'id': 'https://openalex.org/keywords/random-forest', 'display_name': 'random forest', 'score': 0.839194655418396}; {'id': 'https://openalex.org/keywords/regression', 'display_name': 'regression', 'score': 0.5489197969436646}; {'id': 'https://openalex.org/keywords/econometrics', 'display_name': 'econometrics', 'score': 0.5238307118415833}; {'id': 'https://openalex.org/keywords/regression-analysis', 'display_name': 'regression analysis', 'score': 0.5138602256774902}; {'id': 'https://openalex.org/keywords/renting', 'display_name': 'renting', 'score': 0.5048075914382935}; {'id': 'https://openalex.org/keywords/machine-learning', 'display_name': 'machine learning', 'score': 0.4673733115196228}; {'id': 'https://openalex.org/keywords/computer-science', 'display_name': 'computer science', 'score': 0.4343875050544739}; {'id': 'https://openalex.org/keywords/artificial-intelligence', 'display_name': 'artificial intelligence', 'score': 0.426960825920105}; {'id': 'https://openalex.org/keywords/statistics', 'display_name': 'statistics', 'score': 0.3613128066062927}; {'id': 'https://openalex.org/keywords/economics', 'display_name': 'economics', 'score': 0.32884764671325684}",Random forest; Regression; Econometrics; Regression analysis; Renting,NP,NP,,True,1.9459101490553132
https://openalex.org/W2908970112,10.1016/j.landusepol.2018.12.030,Monitoring housing rental prices based on social media:An integrated approach of machine-learning algorithms and hedonic modeling to inform equitable housing policies,2019,Lirong Hu,Lirong Hu; Shenjing He; Zixuan Han; He Xiao; Shiliang Su; Min Weng; Zhongliang Cai,7,Land Use Policy,230,"{'id': 'https://openalex.org/keywords/renting', 'display_name': 'renting', 'score': 0.7982784509658813}; {'id': 'https://openalex.org/keywords/support-vector-machine', 'display_name': 'support vector machine', 'score': 0.5466861724853516}; {'id': 'https://openalex.org/keywords/gradient-boosting', 'display_name': 'gradient boosting', 'score': 0.5234391689300537}; {'id': 'https://openalex.org/keywords/scale', 'display_name': 'scale (ratio)', 'score': 0.46425965428352356}; {'id': 'https://openalex.org/keywords/random-forest', 'display_name': 'random forest', 'score': 0.46246427297592163}; {'id': 'https://openalex.org/keywords/economic-rent', 'display_name': 'economic rent', 'score': 0.4577653706073761}; {'id': 'https://openalex.org/keywords/business', 'display_name': 'business', 'score': 0.4089817404747009}; {'id': 'https://openalex.org/keywords/computer-science', 'display_name': 'computer science', 'score': 0.36440154910087585}; {'id': 'https://openalex.org/keywords/machine-learning', 'display_name': 'machine learning', 'score': 0.3630892038345337}; {'id': 'https://openalex.org/keywords/econometrics', 'display_name': 'econometrics', 'score': 0.32041603326797485}",Renting; Support vector machine; Gradient boosting; Scale (ratio); Random forest,China; Hong Kong,China,,False,5.442417710521793
https://openalex.org/W2945892519,10.1145/3318299.3318377,Ensemble Learning Based Rental Apartment Price Prediction Model by Categorical Features Factoring,2019,Asif Ahmed Neloy,Asif Ahmed Neloy; Halima Haque; Md. Mahmud Ul Islam,3,Unknown Journal,32,"{'id': 'https://openalex.org/keywords/categorical-variable', 'display_name': 'categorical variable', 'score': 0.742156445980072}; {'id': 'https://openalex.org/keywords/decision-tree', 'display_name': 'decision tree', 'score': 0.6466872692108154}; {'id': 'https://openalex.org/keywords/support-vector-machine', 'display_name': 'support vector machine', 'score': 0.6460871696472168}; {'id': 'https://openalex.org/keywords/ensemble-learning', 'display_name': 'ensemble learning', 'score': 0.6264221668243408}; {'id': 'https://openalex.org/keywords/computer-science', 'display_name': 'computer science', 'score': 0.6156929731369019}; {'id': 'https://openalex.org/keywords/machine-learning', 'display_name': 'machine learning', 'score': 0.6091254949569702}; {'id': 'https://openalex.org/keywords/gradient-boosting', 'display_name': 'gradient boosting', 'score': 0.6043621897697449}; {'id': 'https://openalex.org/keywords/artificial-intelligence', 'display_name': 'artificial intelligence', 'score': 0.5969729423522949}; {'id': 'https://openalex.org/keywords/boosting', 'display_name': 'boosting (machine learning)', 'score': 0.577235221862793}; {'id': 'https://openalex.org/keywords/random-forest', 'display_name': 'random forest', 'score': 0.5763053894042969}",Categorical variable; Decision tree; Support vector machine; Ensemble learning; Computer science,BD,BD,"Apartment rental prices are influenced by various factors. The aim of this study is to analyze the different features of an apartment and predict the rental price of it based on multiple factors. An ensemble learning based prediction model is created to reach the goal. We have used a dataset from bProperty.com which includes the rental price and different features of apartments in the city of Dhaka, Bangladesh. The results show the accuracy and prediction of the rent of an apartment, also indicates the different types of categorical values that affect the machine learning models. Another purpose of the study is to find out the factors that signify the apartment rental price in Dhaka. To help our prediction we take on the Advance Regression Techniques (ART) and compare to different features of an apartment for establishing an acceptable model. The following algorithms are selected as the base predictors -- Advance Linear Regression, Neural Network, Random Forest, Support Vector Machine (SVM) and Decision Tree Regressor. The Ensemble learning is stacked of following algorithms -- Ensemble AdaBoosting Regressor, Ensemble Gradient Boosting Regressor, Ensemble XGBoost. Also, Ridge Regre",False,3.4965075614664802
https://openalex.org/W3128124126,10.1371/journal.pone.0244953,"Predicting the rental value of houses in household surveys in Tanzania, Uganda and Malawi: Evaluations of hedonic pricing and machine learning approaches",2021,Weldensie T. Embaye,Weldensie T. Embaye; Yacob Abrehe Zereyesus; Bowen Chen,3,PLoS ONE,39,"{'id': 'https://openalex.org/keywords/ordinary-least-squares', 'display_name': 'ordinary least squares', 'score': 0.6860917806625366}; {'id': 'https://openalex.org/keywords/econometrics', 'display_name': 'econometrics', 'score': 0.5827672481536865}; {'id': 'https://openalex.org/keywords/renting', 'display_name': 'renting', 'score': 0.5540202260017395}; {'id': 'https://openalex.org/keywords/lasso', 'display_name': 'lasso (programming language)', 'score': 0.5461212396621704}; {'id': 'https://openalex.org/keywords/tanzania', 'display_name': 'tanzania', 'score': 0.48124051094055176}; {'id': 'https://openalex.org/keywords/valuation', 'display_name': 'valuation (finance)', 'score': 0.45288941264152527}; {'id': 'https://openalex.org/keywords/economics', 'display_name': 'economics', 'score': 0.45024538040161133}; {'id': 'https://openalex.org/keywords/predictive-power', 'display_name': 'predictive power', 'score': 0.4434288442134857}; {'id': 'https://openalex.org/keywords/welfare', 'display_name': 'welfare', 'score': 0.42701447010040283}; {'id': 'https://openalex.org/keywords/gradient-boosting', 'display_name': 'gradient boosting', 'score': 0.41857969760894775}",Ordinary least squares; Econometrics; Renting; Lasso (programming language); Tanzania,United States,United States,"Housing value is a major component of the aggregate expenditure used in the analyses of welfare status of households in the development economics literature. Therefore, an accurate estimation of housing services is important to obtain the value of housing in household surveys. Data show that a significant proportion of households in a typical Living Standard Measurement Survey (LSMS), adopted by the Word Bank and others, are self-owned. The standard approach to predict the housing value for such surveys is based on the rental cost of the house. A hedonic pricing applying an Ordinary Least Squares (OLS) method is normally used to predict rental values. The literature shows that Machine Learning (ML) methods, shown to uncover generalizable patterns based on a given data, have better predictive power over OLS applied in other valuation exercises. We examined whether or not a class of ML methods (e.g. Ridge, LASSO, Tree, Bagging, Random Forest, and Boosting) provided superior prediction of rental value of housing over OLS methods accounting for spatial autocorrelations using household level survey data from Uganda, Tanzania, and Malawi, across multiple years. Our results showed that th",True,3.6888794541139363
https://openalex.org/W4365147427,10.1108/ijhma-11-2022-0172,Predictability of Belgian residential real estate rents using tree-based ML models and IML techniques,2023,Ian Lenaers,Ian Lenaers; Kris Boudt; Lieven De Moor,3,International Journal of Housing Markets and Analysis,19,"{'id': 'https://openalex.org/keywords/real-estate', 'display_name': 'real estate', 'score': 0.6897915005683899}; {'id': 'https://openalex.org/keywords/economic-rent', 'display_name': 'economic rent', 'score': 0.632912278175354}; {'id': 'https://openalex.org/keywords/econometrics', 'display_name': 'econometrics', 'score': 0.601180911064148}; {'id': 'https://openalex.org/keywords/predictive-modelling', 'display_name': 'predictive modelling', 'score': 0.511225700378418}; {'id': 'https://openalex.org/keywords/computer-science', 'display_name': 'computer science', 'score': 0.4991621971130371}; {'id': 'https://openalex.org/keywords/decision-tree', 'display_name': 'decision tree', 'score': 0.4781583249568939}; {'id': 'https://openalex.org/keywords/tree', 'display_name': 'tree (set theory)', 'score': 0.4660552442073822}; {'id': 'https://openalex.org/keywords/random-forest', 'display_name': 'random forest', 'score': 0.4297179877758026}; {'id': 'https://openalex.org/keywords/residential-real-estate', 'display_name': 'residential real estate', 'score': 0.4248770773410797}; {'id': 'https://openalex.org/keywords/machine-learning', 'display_name': 'machine learning', 'score': 0.34719377756118774}",Real estate; Economic rent; Econometrics; Predictive modelling; Computer science,Belgium; Netherlands,Belgium,"Purpose The purpose is twofold. First, this study aims to establish that black box tree-based machine learning (ML) models have better predictive performance than a standard linear regression (LR) hedonic model for rent prediction. Second, it shows the added value of analyzing tree-based ML models with interpretable machine learning (IML) techniques. Design/methodology/approach Data on Belgian residential rental properties were collected. Tree-based ML models, random forest regression and eXtreme gradient boosting regression were applied to derive rent prediction models to compare predictive performance with a LR model. Interpretations of the tree-based models regarding important factors in predicting rent were made using SHapley Additive exPlanations (SHAP) feature importance (FI) plots and SHAP summary plots. Findings Results indicate that tree-based models perform better than a LR model for Belgian residential rent prediction. The SHAP FI plots agree that asking price, cadastral income, surface livable, number of bedrooms, number of bathrooms and variables measuring the proximity to points of interest are dominant predictors. The direction of relationships between rent and its f",True,2.995732273553991
https://openalex.org/W2922903482,10.1257/jep.33.2.3,Automation and New Tasks: How Technology Displaces and Reinstates Labor,2019,Daron Acemoğlu,Daron Acemoğlu; Pascual Restrepo,2,The Journal of Economic Perspectives,2059,"{'id': 'https://openalex.org/keywords/productivity', 'display_name': 'productivity', 'score': 0.685784637928009}; {'id': 'https://openalex.org/keywords/labour-economics', 'display_name': 'labour economics', 'score': 0.6389754414558411}; {'id': 'https://openalex.org/keywords/automation', 'display_name': 'automation', 'score': 0.6033449769020081}; {'id': 'https://openalex.org/keywords/production', 'display_name': 'production (economics)', 'score': 0.5973923206329346}; {'id': 'https://openalex.org/keywords/economics', 'display_name': 'economics', 'score': 0.5811800360679626}; {'id': 'https://openalex.org/keywords/task', 'display_name': 'task (project management)', 'score': 0.5479927659034729}; {'id': 'https://openalex.org/keywords/capital', 'display_name': 'capital (architecture)', 'score': 0.5212576985359192}; {'id': 'https://openalex.org/keywords/technological-change', 'display_name': 'technological change', 'score': 0.4913741648197174}; {'id': 'https://openalex.org/keywords/labor-demand', 'display_name': 'labor demand', 'score': 0.45271173119544983}; {'id': 'https://openalex.org/keywords/industrial-organization', 'display_name': 'industrial organization', 'score': 0.4362828731536865}",Productivity; Labour economics; Automation; Production (economics); Economics,United States,United States,"We present a framework for understanding the effects of automation and other types of technological changes on labor demand, and use it to interpret changes in US employment over the recent past. At the center of our framework is the allocation of tasks to capital and labor—the task content of production. Automation, which enables capital to replace labor in tasks it was previously engaged in, shifts the task content of production against labor because of a displacement effect. As a result, automation always reduces the labor share in value added and may reduce labor demand even as it raises productivity. The effects of automation are counterbalanced by the creation of new tasks in which labor has a comparative advantage. The introduction of new tasks changes the task content of production in favor of labor because of a reinstatement effect, and always raises the labor share and labor demand. We show how the role of changes in the task content of production—due to automation and new tasks—can be inferred from industry-level data. Our empirical decomposition suggests that the slower growth of employment over the last three decades is accounted for by an acceleration in the displacem",True,7.630461261783627
https://openalex.org/W3210175250,10.1109/icccnt51525.2021.9579796,Prediction of Rental Prices for Apartments in Brazil Using Regression Techniques,2021,Krish Shah,Krish Shah; Hetal Shah; Akshay Zantye; Madhuri Rao,4,Unknown Journal,7,"{'id': 'https://openalex.org/keywords/mean-squared-error', 'display_name': 'mean squared error', 'score': 0.783055305480957}; {'id': 'https://openalex.org/keywords/gradient-boosting', 'display_name': 'gradient boosting', 'score': 0.6892914772033691}; {'id': 'https://openalex.org/keywords/random-forest', 'display_name': 'random forest', 'score': 0.6293700337409973}; {'id': 'https://openalex.org/keywords/boosting', 'display_name': 'boosting (machine learning)', 'score': 0.6119978427886963}; {'id': 'https://openalex.org/keywords/statistics', 'display_name': 'statistics', 'score': 0.5394659042358398}; {'id': 'https://openalex.org/keywords/mean-squared-prediction-error', 'display_name': 'mean squared prediction error', 'score': 0.5032250285148621}; {'id': 'https://openalex.org/keywords/regression-analysis', 'display_name': 'regression analysis', 'score': 0.49375566840171814}; {'id': 'https://openalex.org/keywords/regression', 'display_name': 'regression', 'score': 0.4903535842895508}; {'id': 'https://openalex.org/keywords/multilayer-perceptron', 'display_name': 'multilayer perceptron', 'score': 0.4870219826698303}; {'id': 'https://openalex.org/keywords/econometrics', 'display_name': 'econometrics', 'score': 0.4627651572227478}",Mean squared error; Gradient boosting; Random forest; Boosting (machine learning); Statistics,Australia,Australia,"The real estate industry is one of the most price-oriented industries and tends to fluctuate. The objective of the paper is predicting the rental price for a house. In this study, a predictive model based on the factors that influence the rental price has been constructed. The dataset has thirteen features. Regression techniques such as Gradient Boosting regressor, Ada Boosting regressor, K-nearest Neighbor regressor, Partial Least Square regressor, Random Forest regressor, Decision Tree regressor and Multilayer Perceptron regressor were applied. A predictive model is built using the regression techniques, and to pick the best performing model by performing a comparative analysis on their performance scores obtained. The expected outcome of the models is measured using performance metrics such as Mean Absolute Error (MAE), Mean Square Error (MSE), Root Mean Square Error (RMSE) and R-square score (R<sup>2</sup>) metric. This paper explains house rental price prediction model with the help of machine learning and the dataset used in our proposed model.",False,2.0794415416798357
https://openalex.org/W3183210405,10.26555/jiteki.v7i2.20997,"Analysis of Random Forest, Multiple Regression, and Backpropagation Methods in Predicting Apartment Price Index in Indonesia",2021,I Nym Yoga Saputra,I Nym Yoga Saputra; Siti Saadah; Prasti Eko Yunanto,3,Jurnal Ilmiah Teknik Elektro Komputer dan Informatika,5,"{'id': 'https://openalex.org/keywords/backpropagation', 'display_name': 'backpropagation', 'score': 0.9089635610580444}; {'id': 'https://openalex.org/keywords/apartment', 'display_name': 'apartment', 'score': 0.7209344506263733}; {'id': 'https://openalex.org/keywords/estimator', 'display_name': 'estimator', 'score': 0.6211812496185303}; {'id': 'https://openalex.org/keywords/random-forest', 'display_name': 'random forest', 'score': 0.6183267831802368}; {'id': 'https://openalex.org/keywords/index', 'display_name': 'index (typography)', 'score': 0.5387149453163147}; {'id': 'https://openalex.org/keywords/computer-science', 'display_name': 'computer science', 'score': 0.49398332834243774}; {'id': 'https://openalex.org/keywords/artificial-neural-network', 'display_name': 'artificial neural network', 'score': 0.47213226556777954}; {'id': 'https://openalex.org/keywords/regression-analysis', 'display_name': 'regression analysis', 'score': 0.4586155414581299}; {'id': 'https://openalex.org/keywords/statistics', 'display_name': 'statistics', 'score': 0.423194944858551}; {'id': 'https://openalex.org/keywords/regression', 'display_name': 'regression', 'score': 0.417671799659729}",Backpropagation; Apartment; Estimator; Random forest; Index (typography),Indonesia,Indonesia,"This study focuses on predicting the apartment price index in Indonesia using property survey data from Bank Indonesia. In the era of the Covid-19 pandemic, accurately predicting the sale and purchase price of apartments is essential to minimize the impact of losses, thus making apartment prices attractive to predict. The machine learning approach used to predict the apartment price index are the Random Forest method, the Multiple Regression method, and the Backpropagation method. This study aims to determine which method is more effective in predicting small amounts of data accuracy. The data used is apartment price index data from 2012 to 2019 in the JABODEBEK area. The research will produce prediction accuracy that will determine the effectiveness of the application of the method. The Random Forest method with parameters n_estimators=100 and max_features=â€log2â€ produces an R2 accuracy of 0.977. The Multiple Regression method with a correlation between the selling price and rental price variables is 0.746, and the rental inflation variable is 0.042 produces an R2 accuracy of 0.559. The Backpropagation method with a 1000-4000-1 hidden scheme and 20000 iterations produces an R2",True,1.791759469228055
https://openalex.org/W4400951552,10.56294/dm2024425,Implication of Different Data Split Ratio on the Performance of Model in Price Prediction of Used Vehicles Using Regression Analysis,2024,Md. Alimul Haque,Md. Alimul Haque; Shams Raza; Sultan Ahmad; Md. Alamgir Hossain; Hikmat A. M. Abdeljaber; A. E. M. Eljialy; Sultan Alanazi; Jabeen Nazeer,8,Data & Metadata,10,"{'id': 'https://openalex.org/keywords/regression-analysis', 'display_name': 'regression analysis', 'score': 0.6213611960411072}; {'id': 'https://openalex.org/keywords/regression', 'display_name': 'regression', 'score': 0.5188185572624207}; {'id': 'https://openalex.org/keywords/econometrics', 'display_name': 'econometrics', 'score': 0.45672163367271423}; {'id': 'https://openalex.org/keywords/statistics', 'display_name': 'statistics', 'score': 0.455870121717453}; {'id': 'https://openalex.org/keywords/computer-science', 'display_name': 'computer science', 'score': 0.37526750564575195}; {'id': 'https://openalex.org/keywords/artificial-intelligence', 'display_name': 'artificial intelligence', 'score': 0.3245614767074585}; {'id': 'https://openalex.org/keywords/mathematics', 'display_name': 'mathematics', 'score': 0.31398317217826843}",Regression analysis; Regression; Econometrics; Statistics; Computer science,BD; India; JO; Saudi Arabia,India,"Introduction: artificial intelligence (AI) and Machine Learning have become buzzwords lately due to technological changes and data quality testing, especially in shape and finish analysis. Lots of research has been conducted for linear regression algorithms to predict the price in different sectors for share stock, rental properties, prices of used cars etc. This study provides suitable data split ratio for optimum cost estimation based on linear regression model. In present days there is an increasing demand for having own car for every middle-class family therefore this have given opportunity to motor vehicle business to offer wide range of used vehicle for re-sale especially companies like Maruti Suzuki, Tata motors &amp; Mahendra motors in Indian motor vehicle industries. Therefore, it is important to know the current value of your car before spending your hard-earned money on any item. Objective: the objective of this paper is finding appropriate value of cars in Metropolitans or even in state capitals. Features like model, mileage, AC, seating capacities, fuel type automatic will be taken into account when doing this. This estimate is designed to help customers find the right",True,2.3978952727983707
https://openalex.org/W4387395077,10.1109/metacom57706.2023.00139,Metaverse: Design of the Car Price Prediction Model Through a Machine-learning Approach,2023,Jiseok Yang,Jiseok Yang; Jinseok Kim; Jiwoon Lee; Hanwoong Ryu; Dongwook Kwon; Seonghyeok Yeo; Panjung Kim; Yoongi Kim; Jiyeun Lim; Hyungjoon Yoon,11,Unknown Journal,3,"{'id': 'https://openalex.org/keywords/computer-science', 'display_name': 'computer science', 'score': 0.6881518959999084}; {'id': 'https://openalex.org/keywords/renting', 'display_name': 'renting', 'score': 0.6158468723297119}; {'id': 'https://openalex.org/keywords/context', 'display_name': 'context (archaeology)', 'score': 0.6053395867347717}; {'id': 'https://openalex.org/keywords/metaverse', 'display_name': 'metaverse', 'score': 0.5698255300521851}; {'id': 'https://openalex.org/keywords/random-forest', 'display_name': 'random forest', 'score': 0.47921139001846313}; {'id': 'https://openalex.org/keywords/artificial-intelligence', 'display_name': 'artificial intelligence', 'score': 0.45477861166000366}; {'id': 'https://openalex.org/keywords/machine-learning', 'display_name': 'machine learning', 'score': 0.4460839629173279}; {'id': 'https://openalex.org/keywords/service', 'display_name': 'service (business)', 'score': 0.42626887559890747}; {'id': 'https://openalex.org/keywords/economics', 'display_name': 'economics', 'score': 0.1555323600769043}; {'id': 'https://openalex.org/keywords/engineering', 'display_name': 'engineering', 'score': 0.11402612924575806}",Computer science; Renting; Context (archaeology); Metaverse; Random forest,South Korea,South Korea,"This paper proposes a prediction model of car prices in the metaverse, using a machine-learning method. With the advent of the metaverse, virtual assets have gained significant value, and cars are no exceptions. In this context, predicting car prices in the metaverse is a great of interest for both buyers and sellers. To develop the prediction model, we use real data obtained from Kaflix company, working on the rent-a-car business. To extract the key features impacting the rental car prices, we designed various machine learning algorithms such as, random forest regression, multi-layer-perceptron, convolution/recurrent neural networks and autoregressive-moving-average model. The experimental demonstrates the rental car price could be the most significant feature to predict the rental price. Overall, the proposed model provides valuable insights into the rental car prices in the metaverse and could be used by the rental car companies for their business. One of the metaverse platforms, ZEPETO, provides a service allowing users to try to test-drive of a car, which would be the place where the model could be applied.",False,1.3862943611198906
