keyword,frequency,degree,betweenness,eigenvector,pagerank,community
computer science,603,0.8711,0.4922,0.5343,0.1678,0
machine learning,290,0.4978,0.1798,0.4218,0.0756,2
neural network,159,0.2844,0.0524,0.2853,0.0425,1
artificial intelligence,163,0.2356,0.0318,0.3156,0.0384,3
forecasting,140,0.28,0.051,0.225,0.0358,4
regression,128,0.2222,0.0219,0.2181,0.0315,1
deep learning,122,0.2133,0.0291,0.2262,0.0278,3
real estate,104,0.1911,0.0344,0.1443,0.0218,1
random forest,79,0.1511,0.0186,0.1558,0.0197,1
lstm,70,0.1511,0.008,0.137,0.018,1
time series,77,0.1289,0.0077,0.1386,0.0177,1
artificial neural network,65,0.12,0.0054,0.1271,0.0144,1
location,72,0.1778,0.0352,0.0894,0.0135,3
price prediction,54,0.12,0.0064,0.1077,0.0133,1
data science,71,0.12,0.0248,0.0855,0.0121,3
econometrics,60,0.12,0.0056,0.0924,0.012,1
sentiment analysis,50,0.1378,0.02,0.0531,0.0101,3
classification,55,0.1067,0.0103,0.0786,0.0099,3
gradient boosting,34,0.0889,0.0049,0.0718,0.0085,1
support vector,34,0.0844,0.0006,0.075,0.0084,1
gis,45,0.1022,0.013,0.0501,0.0081,3
mean squared error,30,0.08,0.0011,0.0549,0.0075,1
big data,42,0.0756,0.0233,0.0439,0.0072,3
arima,35,0.0756,0.0036,0.0465,0.0071,1
context (archaeology),53,0.08,0.0334,0.047,0.0069,2
energy consumption,34,0.08,0.0118,0.034,0.0068,2
convolutional neural,26,0.0533,0.0002,0.0635,0.0065,1
renting,30,0.0711,0.0121,0.0439,0.0065,1
autoregressive integrated moving average,30,0.0667,0.0053,0.037,0.006,1
social media,35,0.0756,0.0131,0.0224,0.0057,3
xgboost,25,0.0578,0.0002,0.0502,0.0057,1
nlp,35,0.0578,0.0006,0.0475,0.0056,3
shap,53,0.0756,0.0162,0.0359,0.0055,3
geography,35,0.0756,0.0185,0.0125,0.0054,5
valuation (finance),22,0.0578,0.0008,0.0398,0.0053,1
convolutional neural network,18,0.0578,0.0035,0.0447,0.005,1
sustainability,44,0.0533,0.0294,0.0142,0.005,4
bert,26,0.0622,0.0054,0.0317,0.0049,3
transformer,25,0.0489,0.0002,0.0418,0.0046,3
demand forecasting,21,0.0533,0.0014,0.0357,0.0045,4
industrial organization,8,0.0044,0.0,0.0,0.0044,6
marketing,19,0.0044,0.0,0.0,0.0044,6
support vector machine,18,0.0489,0.001,0.0347,0.0041,1
regression analysis,17,0.0489,0.0028,0.0262,0.0039,1
consumption (sociology),20,0.04,0.0009,0.0171,0.0039,4
recurrent neural,14,0.0444,0.0,0.0306,0.0037,4
environmental science,26,0.0356,0.014,0.0062,0.0034,4
process (computing),31,0.0356,0.0082,0.0257,0.0033,2
mean absolute percentage error,13,0.0489,0.0043,0.0187,0.0032,1
tourism,24,0.04,0.0187,0.0091,0.0031,4
