source,city,listing_id,title,rooms,area_m2,floor,total_floors,price_tenge,district,address,listing_date,seller_type,url,price_per_m2,id
krisha,Астана,1010184849,1-комнатная квартира · 40 м² · 14/14 этаж,1.0,40.0,14.0,14.0,180000,Сарыарка р-н,"Сарыарка р-н, Сарыарка",2026-03-20,unknown,https://krisha.kz/a/show/1010184849,4500.0,1
krisha,Астана,1003946139,4-комнатная квартира · 95 м² · 6/9 этаж,4.0,95.0,6.0,9.0,600000,Есильский р-н,"Есильский р-н, Туркестан — Алматы",2026-03-19,agency,https://krisha.kz/a/show/1003946139,6315.8,2
krisha,Астана,1010109779,1-комнатная квартира · 33 м² · 9/9 этаж,1.0,33.0,9.0,9.0,165000,Алматы р-н,"Алматы р-н, Пр. Жумабаева 1",2026-03-19,agency,https://krisha.kz/a/show/1010109779,5000.0,3
krisha,Астана,1008597520,1-комнатная квартира · 30 м² · 7/9 этаж,1.0,30.0,7.0,9.0,170000,Алматы р-н,"Алматы р-н, Майлина — Жұмабаева-майлина",2026-03-20,owner,https://krisha.kz/a/show/1008597520,5666.7,4
krisha,Астана,1004054783,2-комнатная квартира · 57 м² · 14/22 этаж,2.0,57.0,14.0,22.0,270000,Алматы р-н,"Алматы р-н, Нажимеденова 10/4 — С видом на президентский парк (пирамиду) и Национальный музей",2026-03-20,owner,https://krisha.kz/a/show/1004054783,4736.8,5
krisha,Астана,1010229288,1-комнатная квартира · 42 м² · 6/23 этаж,1.0,42.0,6.0,23.0,180000,Алматы р-н,"Алматы р-н, Байтурсынова — Байтурсынова",2026-03-20,owner,https://krisha.kz/a/show/1010229288,4285.7,6
krisha,Астана,674823283,2-комнатная квартира · 62.2 м² · 2/12 этаж,2.0,62.2,2.0,12.0,280000,Есильский р-н,"Есильский р-н, E-753 улица 3",2026-03-19,owner,https://krisha.kz/a/show/674823283,4501.6,7
krisha,Астана,1010591436,2-комнатная квартира · 62 м² · 4/9 этаж,2.0,62.0,4.0,9.0,240000,Есильский р-н,"Есильский р-н, Улы Дала 46",2026-03-19,owner,https://krisha.kz/a/show/1010591436,3871.0,8
krisha,Астана,1010107674,1-комнатная квартира · 43 м² · 9/9 этаж,1.0,43.0,9.0,9.0,250000,Сарыарка р-н,"Сарыарка р-н, Ш.Косшыгулулы 3/2",2026-03-19,owner,https://krisha.kz/a/show/1010107674,5814.0,9
krisha,Астана,1009198708,3-комнатная квартира · 107 м² · 13/22 этаж,3.0,107.0,13.0,22.0,1200000,Есильский р-н,"Есильский р-н, Достык 1A",2026-03-19,owner,https://krisha.kz/a/show/1009198708,11215.0,10
