id,source,city,district,rooms,area_m2,floor,total_floors,price_tenge,price_per_m2,price_segment,seller_type,listing_date,title,address,url,listing_id
1,krisha,Астана,Сарыарка р-н,1.0,40.0,14.0,14.0,180000,4500.0,middle,unknown,2026-03-20,1-комнатная квартира · 40 м² · 14/14 этаж,"Сарыарка р-н, Сарыарка",https://krisha.kz/a/show/1010184849,1010184849
2,krisha,Астана,Алматы р-н,1.0,33.0,9.0,9.0,165000,5000.0,middle,agency,2026-03-19,1-комнатная квартира · 33 м² · 9/9 этаж,"Алматы р-н, Пр. Жумабаева 1",https://krisha.kz/a/show/1010109779,1010109779
3,krisha,Астана,Алматы р-н,1.0,30.0,7.0,9.0,170000,5666.7,middle,owner,2026-03-20,1-комнатная квартира · 30 м² · 7/9 этаж,"Алматы р-н, Майлина — Жұмабаева-майлина",https://krisha.kz/a/show/1008597520,1008597520
4,krisha,Астана,Алматы р-н,2.0,57.0,14.0,22.0,270000,4736.8,high,owner,2026-03-20,2-комнатная квартира · 57 м² · 14/22 этаж,"Алматы р-н, Нажимеденова 10/4 — С видом на президентский парк (пирамиду) и Национальный музей",https://krisha.kz/a/show/1004054783,1004054783
5,krisha,Астана,Алматы р-н,1.0,42.0,6.0,23.0,180000,4285.7,middle,owner,2026-03-20,1-комнатная квартира · 42 м² · 6/23 этаж,"Алматы р-н, Байтурсынова — Байтурсынова",https://krisha.kz/a/show/1010229288,1010229288
6,krisha,Астана,Есильский р-н,2.0,62.2,2.0,12.0,280000,4501.6,high,owner,2026-03-19,2-комнатная квартира · 62.2 м² · 2/12 этаж,"Есильский р-н, E-753 улица 3",https://krisha.kz/a/show/674823283,674823283
7,krisha,Астана,Есильский р-н,2.0,62.0,4.0,9.0,240000,3871.0,middle,owner,2026-03-19,2-комнатная квартира · 62 м² · 4/9 этаж,"Есильский р-н, Улы Дала 46",https://krisha.kz/a/show/1010591436,1010591436
8,krisha,Астана,Сарыарка р-н,1.0,43.0,9.0,9.0,250000,5814.0,high,owner,2026-03-19,1-комнатная квартира · 43 м² · 9/9 этаж,"Сарыарка р-н, Ш.Косшыгулулы 3/2",https://krisha.kz/a/show/1010107674,1010107674
9,krisha,Астана,Есильский р-н,3.0,78.0,3.0,9.0,380000,4871.8,high,owner,2026-03-19,3-комнатная квартира · 78 м² · 3/9 этаж,"Есильский р-н, Туран 43 — Сыганак",https://krisha.kz/a/show/699413356,699413356
10,krisha,Астана,Есильский р-н,1.0,40.0,24.0,36.0,240000,6000.0,middle,agency,2026-03-19,1-комнатная квартира · 40 м² · 24/36 этаж,"Есильский р-н, Достык 5 — ТРЦ Керуен",https://krisha.kz/a/show/1009431419,1009431419
11,krisha,Астана,Есильский р-н,1.0,38.0,2.0,9.0,190000,5000.0,middle,owner,2026-03-19,1-комнатная квартира · 38 м² · 2/9 этаж,"Есильский р-н, Жошы хана 27",https://krisha.kz/a/show/1010591203,1010591203
12,krisha,Астана,Есильский р-н,2.0,65.0,,,260000,4000.0,high,owner,2026-03-19,2-комнатная квартира · 65 м²,"Есильский р-н, Кайым Мухамедханов 4в",https://krisha.kz/a/show/1010268169,1010268169
13,krisha,Астана,Аль-Фараби,1.0,47.0,6.0,7.0,200000,4255.3,middle,owner,2026-03-19,1-комнатная квартира · 47 м² · 6/7 этаж,Аль-Фараби,https://krisha.kz/a/show/1010455099,1010455099
14,krisha,Астана,Нура р-н,1.0,20.0,2.0,2.0,170000,8500.0,middle,owner,2026-03-19,1-комнатная квартира · 20 м² · 2/2 этаж,"Нура р-н, Манкент 7 — Возле keruen city",https://krisha.kz/a/show/1010276718,1010276718
15,krisha,Астана,Нура р-н,1.0,40.0,,,250000,6250.0,high,agency,2026-03-19,1-комнатная квартира · 40 м² · 5 этаж,"Нура р-н, Толе би 24",https://krisha.kz/a/show/1010557467,1010557467
16,krisha,Астана,Сарыарка р-н,1.0,25.0,3.0,4.0,135000,5400.0,middle,owner,2026-03-19,1-комнатная квартира · 25 м² · 3/4 этаж,"Сарыарка р-н, Василия Радлова 26/1 — Акан Серы, ТД Рахмет",https://krisha.kz/a/show/687636331,687636331
17,krisha,Астана,Нура р-н,2.0,48.0,18.0,20.0,250000,5208.3,high,owner,2026-03-19,2-комнатная квартира · 48 м² · 18/20 этаж,"Нура р-н, Бектурова 4/1",https://krisha.kz/a/show/1010591006,1010591006
18,krisha,Астана,Есильский р-н,1.0,40.0,3.0,15.0,200000,5000.0,middle,owner,2026-03-19,1-комнатная квартира · 40 м² · 3/15 этаж,"Есильский р-н, Кабанбай батыра 46а",https://krisha.kz/a/show/1009617665,1009617665
19,krisha,Астана,Есильский р-н,2.0,65.0,12.0,15.0,300000,4615.4,high,owner,2026-03-19,2-комнатная квартира · 65 м² · 12/15 этаж,"Есильский р-н, Сарайшык 5 — Акмешит",https://krisha.kz/a/show/695614476,695614476
20,krisha,Астана,Есильский р-н,1.0,34.0,9.0,9.0,180000,5294.1,middle,owner,2026-03-19,1-комнатная квартира · 34 м² · 9/9 этаж,"Есильский р-н, Аль-Фараби 46/36",https://krisha.kz/a/show/1010486398,1010486398
